ig_username,first_match_timestamp,last_match_timestamp,match_count,sample_text
"shannyn.lee_","2025-07-23T08:35:20.131382+00:00","2025-07-23T08:35:20.231766+00:00",3,"I'm Ready to join the Vegan Weight Loss Challenge"
"lucyhammondx","2025-07-23T14:13:49.789142","2025-07-23T14:37:21.472274",2,"That's awesome! Getting back into a routine to tone up and lose weight is exactly what this challenge is designed for. The combination of targeted weight training and the right vegan nutrition is the key to achieving all three of those goals.
What has been the biggest challenge for you in staying consistent with a gym routine in the past?"
"biabutcher","2025-07-23T02:06:58.141844+00:00","2025-07-23T02:06:58.141844+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"rhysmcphedran","2025-07-23T01:36:53.710958+00:00","2025-07-23T01:36:53.710958+00:00",1,"I'm Ready to join the Vegan Weight Loss Challenge"
"reece_eykle","2025-07-23T01:27:52.107810+00:00","2025-07-23T01:27:52.108808+00:00",2,"I'm Ready to join the Vegan Weight Loss Challenge"
"steamyytofu","2025-07-22T22:57:02.219112+00:00","2025-07-22T22:57:02.219112+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"miko.grady","2025-07-22T22:06:37.355299+00:00","2025-07-22T22:06:37.355299+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"kaylahanna_","2025-07-22T21:06:41.374994+00:00","2025-07-23T07:06:43.420032",2,"Hey Kayla! Thanks for your interest in the Vegan Weight Loss Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"anniegrace948","2025-07-22T12:37:16.536468+00:00","2025-07-22T12:37:16.536468+00:00",1,"Hello Annie! How are you? Thanks for your interest in the Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"rhirhifraser","2025-07-22T11:51:25.999355+00:00","2025-07-22T11:51:25.999355+00:00",1,"Hello @rhirhifraser! How are you? Thanks for your interest in the Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"hexfire_7777","2025-07-22T10:58:19.973029+00:00","2025-07-22T20:57:38.970435",2,"Hey! Thanks for your interest in the Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"fi_perley","2025-07-22T10:45:20.799542+00:00","2025-07-22T20:45:11.434450",2,"Hey Fi! Thanks for enquring about the challenge! It's a 28-day intensive program specifically designed for vegans who want to lose weight without giving up carbs or feeling deprived 🌱

Most plant-based people struggle because they either go too restrictive or don't understand how to structure their meals for fat loss.

I take you through my exact system - the same one I use with my private clients who've lost 10-15kg+ while still enjoying pasta, bread, and all their fave foods.

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"tealperryx","2025-07-21T07:04:07.278109+00:00","2025-07-22T05:43:20.915594+00:00",7,"I'm Ready to join the Vegan Weight Loss Challenge"
"jessicaathyer","2025-07-21T22:51:30.062096+00:00","2025-07-21T22:51:30.062096+00:00",1,"I'm good thanks! No need to apologise at all hey, happens like that! That's awesome you've got all that new home gym gear now, that's proper commitment! Given you're keen to get a plan sorted and you've got all that new gear to use, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my Free 28-Day Winter Challenge. It's designed to show you how to get incredible results with a tailored plan for your home gym! Reckon you'd be interested?"
"kombuchabear","2025-07-21T20:38:01.082042+00:00","2025-07-22T07:21:41.127186",3,"Thanks so much for sharing all that! Let's do it!!! 👍

Wow, it sounds like you've got such a solid foundation with being vegan for so long and your amazing healthy habits like the juices, ice baths, and sauna. That's truly awesome.

And it's really good you've identified those processed carbs, vegan meats and cheeses as areas we can work on. We can definitely tailor the meal plan to help with that.

Also, being a trained vinyasa teacher is a huge plus, you've got that body awareness! We'll make sure to design your workout program super carefully, especially with your back injuries and scoliosis. Your sleep is important too, so we'll factor that in.

It's awesome you're looking for a vegan focus, and I can definitely support you on that journey to reach your target. We'll get you there.

I'll add you to our waitlist for the Vegan Weight Loss Challenge.

I'll just need to grab your email, then I can let you know when we are ready to get started!"
"missmiles72","2025-07-21T15:05:30.149825+00:00","2025-07-21T15:05:30.149825+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July.

If you're interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"salomaeandonov","2025-07-21T14:22:56.405728+00:00","2025-07-21T15:02:12.071188+00:00",4,"This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"anna_bellelle","2025-07-21T12:39:48.203402+00:00","2025-07-21T12:48:44.411026+00:00",2,"Thanks so much for sharing all that Anna! Let's do it!!!

It sounds like you've been on quite a journey with your nutrition and body image, especially with your dance background and ADHD. It's awesome you've turned things around with your veggie intake and tracking. I totally get your concerns about your metabolism and stalling progress, that's something we can absolutely look into and work on together. It's awesome you're looking for a vegan focus and I can definitely support you in reaching those goals, especially feeling confident and fit for your future. 💪

I'll add you to our waitlist for the Vegan Weight Loss Challenge.

I'll just need to grab your email, then I can let you know when we are ready to get started!"
"marenmchugh","2025-07-21T10:37:05.504485+00:00","2025-07-21T10:44:37.999645+00:00",2,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"user_649757228","2025-07-21T10:38:14.861285+00:00","2025-07-21T10:38:14.861285+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"plantbased.for.weightloss","2025-07-21T10:37:36.978267+00:00","2025-07-21T10:37:36.978267+00:00",1,"Yeah nice one! Losing 17kg is massive progress, thats amazing! 💪 And totally get wanting to drop another 10-15kg while continuing to build strength, that's a solid goal. You're already plant based for years too, which is mint.

The 28-Day Winter Vegan Challenge is perfect for helping you smash those goals! I've got all the details on the website, check it out here: cocospersonaltraining.com/plantbasedchallenge. If it looks good, just hit the join button, then come back and let me know and I'll get started on your Meal Plan for ya. Cheers for the email too, that'll come in handy once you're all signed up!"
"michellekvianna","2025-07-21T06:29:31.146311+00:00","2025-07-21T16:28:55.619677",2,"Yeah for sure! It's my Free 28-Day Winter Vegan Challenge, specifically designed to help you get awesome results eating plant-based. All the details are on my website – check out cocospersonaltraining.com/plantbasedchallenge. If it looks good, just hit the join button, then come back and let me know and I'll get started on your Meal Plan."
"idivc2711","2025-07-21T05:30:06.103913+00:00","2025-07-21T05:30:06.103913+00:00",1,"Awesome, thanks for sending that! Just head to cocospersonaltraining.com/plantbasedchallenge and hit the join button there, then come back and let me know when you've signed up and I'll get cracking on your meal plan."
"mazzie_maz_wellness","2025-07-21T04:02:22.323308+00:00","2025-07-21T04:02:22.323308+00:00",1,"Yeah for sure! It's my Free 28-Day Winter Vegan Challenge. It's designed to show you how to get incredible results while eating vegan. You'll get a custom high-protein vegan meal plan, a workout program, plus I check in with you every Monday and Wednesday to keep you on track. You can check it all out here! https://www.cocospersonaltraining.com/plantbasedchallenge - If you sign up come back and let me know! Ill get building your meal plan for you :)"
"sofi_maceratessi","2025-07-20T21:20:40.287731+00:00","2025-07-20T21:20:40.287731+00:00",1,"Yeah for sure! It's my free 28-Day Winter Challenge, completely free. You'll get a custom meal plan tailored to your goals, a workout program, plus I check in with you every Monday and Wednesday to keep you on track. Perfect! You can check it all out here! https://www.cocospersonaltraining.com/plantbasedchallenge - If it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan!"
"misswolf1957","2025-07-20T13:12:21.773702+00:00","2025-07-20T13:12:21.773702+00:00",1,"Yeah! It's my Free 28-Day Winter Challenge. It's my full coaching system condensed into 4 weeks, completely free. You'll get a custom meal plan tailored to your goals, a workout program, plus I check in with you every Monday and Wednesday to keep you on track. You can check it all out and sign up here: cocospersonaltraining.com/plantbasedchallenge - If you sign up come back and let me know! Ill get building your meal plan for you :)"
"cal_menara","2025-07-20T08:51:03.397884+00:00","2025-07-20T08:51:03.397884+00:00",1,"Yeah no worries at all! It's my free 28-Day Winter Challenge, where you get a custom meal plan and workout program tailored to your goals, and I check in with you every Monday and Wednesday to keep you on track. You can check it all out here! cocospersonaltraining.com/plantbasedchallenge - If you sign up come back and let me know and I'll get started on your meal plan for you :)"
"sanjanamunjal_","2025-07-20T07:49:32.854935+00:00","2025-07-20T07:49:32.854935+00:00",1,"Awesome! Welcome to the challenge! Checkins are Monday morning and Wednesday - I'll be checking in with you to track your progress and keep you on track. You should get your email inviting you into cocos app, also the challenge start next monday! Ill get to work on your Meal Plan and Workout Program and let you know when its ready! Do you have any other questions before i dig into this?"
"danielvrtacic","2025-07-06T10:25:15.358075","2025-07-06T10:36:54.297759",2,"legend, appreciate the quick reply! Totally understand the weekend being packed sounds like you’re flat out, which is a good thing! We’re only in Melbourne until Sunday, so probably a bit tight this time around.

That Plant-Based Challenge actually looks right up my alley. I’ll check it out properly tonight and if it fits, I’ll hit that join button and get back to you. Really keen to dive deeper into the plant-based side and would love to learn from someone who’s clearly walking the talk.

Let’s definitely keep in touch, we live in Geelong and would love to lock in a session leading up to HYROX!"
"sararamani48","2025-07-05T12:14:48.235443","2025-07-05T12:14:48.235443",1,"Awesome, keen to get better hey! I'm running a Free 28-Day Winter Challenge that's designed exactly for this - you can check it all out here! https://www.cocospersonaltraining.com/plantbasedchallenge - If you sign up come back and let me know! Ill get building your meal plan for you :)"
"iapiisk","2025-07-04T16:47:42.791882","2025-07-04T16:47:42.791882",1,"Haha looks like those messages are sending twice! Yeah I was born into a vegetarian family!

Oh nice so you're into fitness hey! What do you usually like to do?

And based on your expertise in plant-based nutrition and training, since you have been vegan for a long time you may be perfect for my Free 28-Day Winter Vegan Challenge! Its designed to get incredible results while eating vegan :)"
"livrenee_fit","2025-07-04T06:48:03.540479","2025-07-04T06:48:03.540479",1,"Yeah hell yeah, getting into bodybuilding after going vegan is solid! And hope to get back on stage after a longggg growing season haha, thats awesome! Look, since you're into the plant-based life and bodybuilding, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my Free 28-Day Winter Vegan Challenge. Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"user_774846284","2025-07-04T03:18:33.023031","2025-07-04T03:18:33.023031",1,"Yeah nice one, 10 years is solid! I've been vegetarian since birth, gave up milk a few years ago! You've definitely got the nutrition side sorted! I'm actually running something that might be perfect for someone with your vegan experience. Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"iicandii9","2025-07-04T03:07:38.332510","2025-07-04T03:07:38.332510",1,"Yeah totally get that, being on the go makes finding quick options tricky hey! Planning ahead definitely makes a huge difference.

Look, since you're into the plant-based life and struggle with finding quick choices while you're busy, I reckon you'd be perfect for something special I'm running. It's designed to show you how to get incredible results while eating vegan, including easy meal options when you're flat out.

Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"lizzie.loves.veg","2025-07-04T00:40:19.892634","2025-07-04T00:51:29.998777",2,"Yeah nice one, preferring that toned body feel stronger! Hell yeah!

Look, since you're plant based and keen on getting a toned body and feeling stronger, I've actually got something running right now that's basically made for you. I'm taking on a small group for my Free 28-Day Winter Vegan Challenge. It's designed to show you how to get incredible results while staying plant based and building that toned physique.

Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan 💪"
"user_361387491","2025-07-03T23:44:44.821019","2025-07-03T23:44:44.821019",1,"Yeah nice one! Mate, the perfect way to start towards that is actually my Free 28-Day Winter Vegan Challenge. Its designed to show you exactly how to get solid results while eating plant based. If you're keen, check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"user_426319321","2025-07-03T23:37:16.400463","2025-07-03T23:37:16.400463",1,"Yeah nice one, 8 years is solid! I am! I'm actually running something right now that might be perfect for someone with your vegan experience. Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"user_1704494905","2025-07-03T19:44:09.758296","2025-07-03T19:44:09.758296",1,"Yeah nice one, 7 years is solid! You've definitely got the nutrition side sorted hey. I've been vegetarian since birth, gave up milk a few years ago! I'm actually running something right now that might be perfect for someone with your vegan experience. I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"user_706507153","2025-07-03T19:38:48.560643","2025-07-03T19:38:48.560643",1,"Haha good morning to you too! Seems like you're in a different timezone hey.

But wow, almost 26 years vegan, that's absolutely incredible! Mad respect for that consistency hey. Someone who's been vegan that long definitely has the nutrition side sorted!

I'm actually running something that might be perfect for someone with your vegan experience. Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"grateful_vegan_sunflower","2025-07-03T06:05:39.584232","2025-07-03T12:03:27.237312",2,"Yeah mate, seriously awesome mission you got there helping people through plant based health and saving animals, unreal! And hell yeah getting results yourself through body recomposition is the best way to know you can help others. For tips hey, like I said before building that genuine connection and focusing on actually helping people first, showing them the value before trying to sell them is key.

Look, since you're into the plant-based life and have that unreal goal of coaching others to get results, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my **free 28-Day Winter Vegan Challenge**. It's designed to show you how to get incredible results while eating vegan, and would give you a solid insight into a coaching system too. Reckon you'd be interested?"
"a.living.vegan","2025-07-03T07:37:52.128648","2025-07-03T07:37:52.128648",1,"Yeah totally hey! That health education aspect is massive too.

Look, since you're so passionate about the plant based life and obviously keen on the health side, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my free 28-Day Winter Vegan Challenge. It's designed to show you how to get incredible results while eating vegan and connecting with other legends. Reckon you'd be interested?"
"user_369312216","2025-07-02T23:24:28.827020","2025-07-02T23:24:28.827020",1,"Yeah nice one, 7/8 years is solid! I've been vegetarian since birth, gave up milk a few years ago! Look, I'm actually running something that might be perfect for someone with your vegan experience - my free 28-Day Winter Vegan Challenge. It's about optimizing the fitness side while thriving plant-based. Reckon you'd be interested?"
"vegan4tanimals","2025-07-02T22:47:49.000073","2025-07-02T22:47:50.000073",2,"Yeah totally get that, staying fit and avoiding getting fat while still enjoying your food is a solid and relatable goal hey! Nothing basic about wanting to feel good and eat well 😂

Look, since you're into the plant-based life and have that goal, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my **free 28-Day Winter Vegan Challenge**. It's designed to show you how to get incredible results while eating vegan. Reckon you'd be interested?"
"user_1296044061","2025-07-02T17:10:39.835143","2025-07-02T17:10:39.835143",1,"Hey, good thanks! Yeah im going well thanks! Woah 12 years vegan is solid! Raised veggie too, thats commitment hey! Look, since you're into the plant-based life, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my free 28-Day Winter Vegan Challenge. It's designed to show you how to get incredible results while eating vegan. Reckon you'd be interested? 💪"
"lycornh","2025-07-02T15:54:52.272807","2025-07-02T15:54:52.272807",1,"Haha love that! 'Body building for grand mas' is an epic way to put it hey! And being fit until you die is a solid ultimate goal!

Look, since you're into the plant-based life and have that unreal goal, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my **free 28-Day Winter Vegan Challenge**. It's designed to show you how to get incredible results while eating vegan. Reckon you'd be interested?"
"bre.with.nature","2025-07-01T13:23:43.441405","2025-07-01T18:47:44.955185",4,"Yeah nice one, that sounds like an epic gym with all those facilities hey! Sauna, pool, squash court, dance classes, boxing studios... hell yeah!

So with all that on offer, reckon you're keen to give that 28 day challenge a whirl then? 💪"
"hrmnkahlon89","2025-06-30T01:14:40.770083","2025-06-30T10:36:24.139012",4,"Yeah totally get that hey, that specific running pace is tough to crack, especially when you're juggling the gym and those two jobs! My 28-Day challenge is honestly perfect for building up that kind of specific fitness for a goal like the 5km, with a plan you can actually fit in. Keen to check it out?"
"reinnota","2025-06-29T23:19:04.336785","2025-06-29T23:19:04.336785",1,"Yeah nice one, 9 years is solid! And a year whole food plant based too, unreal! Since you've definitely got the nutrition side sorted being vegan for so long, I'm actually running something that might be perfect for someone with your experience - my free 28-Day Winter Vegan Challenge. It's all about optimizing the fitness side while absolutely thriving plant-based. Reckon you'd be keen to check it out?"
"kayblossom9","2025-06-29T22:20:45.932873","2025-06-29T22:20:46.932873",2,"Yeah, absolutely attainable! Hell yeah! Being a confident gym babe with a strong body is an awesome ultimate goal hey! Especially with the solid progress you're already making eating mostly potato, tofu and veg.

Look, since you're into the plant-based life and have that unreal goal, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my Free 28-Day Winter Vegan Challenge. It's designed to show you how to get incredible results while eating vegan. Reckon you'd be interested?"
"beingbea","2025-06-29T21:24:27.328906","2025-06-29T21:24:28.328906",2,"Yeah love that feeling when you find foods that make you feel light and energetic! And totally get that certain things like pasta/bread can make you feel sluggish hey.

6 years vegan is solid - you've definitely got the nutrition side sorted! I'm actually running something that might be perfect for someone with your vegan experience who wants to optimize how their body feels - my free 28-Day Winter Vegan Challenge. It's about optimizing the fitness side while thriving plant-based and feeling your best. Reckon you'd be interested?"
"gambit_the_gambler","2025-06-28T20:49:15.301892","2025-06-28T20:49:15.301892",1,"Yeah nice one, 95-85kg in 6 months is a solid goal hey! Haha nah mate, not quite selling, but based on that and being plant-based, I reckon you'd be perfect for my free 28-Day Winter Vegan Challenge. Taking 10 people to smash goals while thriving plant-based. Reckon you'd be keen?"
"spiderparisoscosplay","2025-06-27T18:00:40.316019","2025-06-27T18:00:40.316019",1,"Haha yeah nice one, mate! Gotta push those limits hey! That's the exact attitude you need for smashing that building phase while keeping fats low, hey. Listen, based on our chat and how keen you are to not shy away from a challenge, I reckon you'd be a perfect fit for something I'm running... I'm taking on a few legends for a free 28-Day Transformation Challenge soon. Keen to hear more about it?"
"kayla.ackroyd","2025-06-13T16:15:02.259612","2025-06-13T16:15:02.259612",1,"Ah yeah, that makes total sense wanting to be feeling good and lean for heading overseas! And yeah, totally get what you mean about the support system, sometimes it just feels like you're doing it all yourself hey 😂

Look, based on what you've shared about getting lean for your trip and needing that support system, I reckon you'd be perfect for something I'm doing. I'm taking on 10 people for my next free 28-Day Transformation Challenge starting soon. Reckon you'd be keen?"
